task,model_type,language,task_type,train_time_main,train_primary_value_main,train_mse_main,train_r2_main,val_primary_value_main,val_mse_main,val_r2_main,test_primary_value_main,test_mse_main,test_r2_main,train_samples_main,val_samples_main,test_samples_main,train_accuracy_main,train_precision_main,train_recall_main,train_f1_main,val_accuracy_main,val_precision_main,val_recall_main,val_f1_main,test_accuracy_main,test_precision_main,test_recall_main,test_f1_main,train_time_control,train_primary_value_control,train_mse_control,train_r2_control,val_primary_value_control,val_mse_control,val_r2_control,test_primary_value_control,test_mse_control,test_r2_control,train_samples_control,val_samples_control,test_samples_control,train_accuracy_control,train_precision_control,train_recall_control,train_f1_control,val_accuracy_control,val_precision_control,val_recall_control,val_f1_control,test_accuracy_control,test_precision_control,test_recall_control,test_f1_control,test_accuracy_diff,test_accuracy_improvement,test_f1_diff,test_f1_improvement,test_mse_diff,test_mse_improvement,test_r2_diff,test_r2_improvement
question_type,LogisticRegression,fi,classification,0.0028603076934814453,0.994979079497908,,,0.9365079365079365,,,0.8454545454545455,,,1195,63,110,0.994979079497908,0.9950012919359685,0.994979079497908,0.9949790373057714,0.9365079365079365,0.9384600614439325,0.9365079365079365,0.9365399385560675,0.8454545454545455,0.8549592391304347,0.8454545454545455,0.8444130127298443,0.0029606024424235025,0.8147838214783821,,,0.5291005291005292,,,0.46060606060606063,,,1195.0,63.0,110.0,0.8147838214783821,0.8148545334706762,0.8147838214783821,0.8147724388273573,0.5291005291005292,0.5294945778816746,0.5291005291005292,0.528285991171747,0.46060606060606063,0.4595188102874193,0.46060606060606063,0.4565326938324957,0.38484848484848483,0.38484848484848483,0.3878803188973486,0.3878803188973486,,,,
question_type,XGBClassifier,fi,classification,0.37271666526794434,0.9916317991631799,,,0.9047619047619048,,,0.8727272727272727,,,1195,63,110,0.9916317991631799,0.9917696607914637,0.9916317991631799,0.9916312717348807,0.9047619047619048,0.910899910899911,0.9047619047619048,0.9040816326530612,0.8727272727272727,0.8854700854700855,0.8727272727272727,0.8716666666666666,0.38083648681640625,0.8337517433751743,,,0.544973544973545,,,0.4575757575757575,,,1195.0,63.0,110.0,0.8337517433751743,0.8353681489835507,0.8337517433751743,0.8335583634459893,0.544973544973545,0.5461159415319008,0.544973544973545,0.5436986191614769,0.4575757575757575,0.4570933805243636,0.4575757575757575,0.4556682769726248,0.41515151515151516,0.41515151515151516,0.4159983896940418,0.4159983896940418,,,,
avg_verb_edges,DummyRegressor,fi,regression,0.00913548469543457,0.04513503950280983,0.04513503950280983,0.0,0.06651637562636599,0.06651637562636599,-0.0830819564612506,0.09462254802857094,0.09462254802857094,-0.3372000409696674,1195,63,110,,,,,,,,,,,,,0.009283860524495443,0.04513503950280983,0.04513503950280983,0.0,0.06651637562636599,0.06651637562636599,-0.08308195646125054,0.09462254802857094,0.09462254802857094,-0.3372000409696673,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17
avg_verb_edges,Ridge,fi,regression,0.003889799118041992,0.007537402059499367,0.007537402059499367,0.8330033131126399,0.0399322057632144,0.0399322057632144,0.34978640768436653,0.06793625072782918,0.06793625072782918,0.03992907452514749,1195,63,110,,,,,,,,,,,,,0.0034444332122802734,0.0225597686618966,0.0225597686618966,0.5001717310894972,0.07012598173373191,0.07012598173373191,-0.14185694544713115,0.10283486505517848,0.10283486505517848,-0.45325600113171766,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.03489861432734931,0.03489861432734931,0.49318507565686515,0.49318507565686515
avg_verb_edges,XGBRegressor,fi,regression,0.4774465560913086,0.006036079865079343,0.006036079865079343,0.8662662106520683,0.041924598895467576,0.041924598895467576,0.3173443957527159,0.06694623372755971,0.06694623372755971,0.05391993400740602,1195,63,110,,,,,,,,,,,,,0.41515541076660156,0.025347220170099705,0.025347220170099705,0.4384136925697884,0.06763963224320581,0.06763963224320581,-0.10137187323315411,0.09822279084663761,0.09822279084663761,-0.38807845149784165,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.0312765571190779,0.0312765571190779,0.44199838550524767,0.44199838550524767
lexical_density,DummyRegressor,fi,regression,0.009156227111816406,0.03999842697431768,0.03999842697431768,0.0,0.037089675197429686,0.037089675197429686,-0.04541968783357775,0.055529279986503914,0.055529279986503914,-0.2417074519777509,1195,63,110,,,,,,,,,,,,,0.009013493855794271,0.03999842697431767,0.03999842697431767,0.0,0.037089675197429686,0.037089675197429686,-0.04541968783357775,0.055529279986503914,0.055529279986503914,-0.2417074519777509,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
lexical_density,Ridge,fi,regression,0.003273487091064453,0.005171334254956414,0.005171334254956414,0.8707115592751474,0.025001242139606937,0.025001242139606937,0.29530817905758155,0.07035472194683988,0.07035472194683988,-0.5732237577084749,1195,63,110,,,,,,,,,,,,,0.003591299057006836,0.02040541778979858,0.02040541778979858,0.4898444930621757,0.03746270494483802,0.03746270494483802,-0.055934005902216054,0.06246280978744515,0.06246280978744515,-0.3967502622650627,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.007891912159394728,-0.007891912159394728,-0.17647349544341218,-0.17647349544341218
lexical_density,XGBRegressor,fi,regression,0.46273040771484375,0.005521251952225767,0.005521251952225767,0.8619632728114316,0.02439059313250616,0.02439059313250616,0.3125200983041383,0.06917043456771164,0.06917043456771164,-0.546741540321465,1195,63,110,,,,,,,,,,,,,0.4795859654744466,0.022221726005330514,0.022221726005330514,0.44443500191648244,0.04096581820336429,0.04096581820336429,-0.1546737104070428,0.0618943501324432,0.0618943501324432,-0.3840387596139175,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0072760844352684415,-0.0072760844352684415,-0.16270278070754757,-0.16270278070754757
n_tokens,DummyRegressor,fi,regression,0.009152650833129883,0.014658283066472927,0.014658283066472927,0.0,0.01857483519081605,0.01857483519081605,-0.008286163773478794,0.014355912833108666,0.014355912833108666,-0.03828960349593613,1195,63,110,,,,,,,,,,,,,0.009064197540283203,0.014658283066472927,0.014658283066472927,0.0,0.01857483519081605,0.01857483519081605,-0.008286163773478794,0.014355912833108666,0.014355912833108666,-0.03828960349593613,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
n_tokens,Ridge,fi,regression,0.003460407257080078,0.003361448486760535,0.003361448486760535,0.7706792486188926,0.01053445785347362,0.01053445785347362,0.42816461156199004,0.015536972392099328,0.015536972392099328,-0.12370958865921722,1195,63,110,,,,,,,,,,,,,0.0032814343770345054,0.007509917355330477,0.007509917355330477,0.48766732629775095,0.020220835284942777,0.020220835284942777,-0.09763495763510084,0.016350802673268945,0.016350802673268945,-0.18256976214813725,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.0008138302811696169,0.0008138302811696169,0.05886017348892003,0.05886017348892003
n_tokens,XGBRegressor,fi,regression,0.41235804557800293,0.002376503803326306,0.002376503803326306,0.8378729764905448,0.009437719106725868,0.009437719106725868,0.4876981951582944,0.009100778335204732,0.009100778335204732,0.3417873430262418,1195,63,110,,,,,,,,,,,,,0.44989339510599774,0.007245907211751633,0.007245907211751633,0.505678313149458,0.018450846647420988,0.018450846647420988,-0.0015557712027023014,0.013702518646816505,0.013702518646816505,0.008967049459439455,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.004601740311611773,0.004601740311611773,0.33282029356680237,0.33282029356680237
avg_max_depth,DummyRegressor,fi,regression,0.009502649307250977,0.031007466426708215,0.031007466426708215,0.0,0.04874605291977515,0.04874605291977515,-0.0671484533482567,0.030714829381583916,0.030714829381583916,-0.007271335229541487,1195,63,110,,,,,,,,,,,,,0.009149471918741861,0.031007466426708218,0.031007466426708218,0.0,0.04874605291977515,0.04874605291977515,-0.0671484533482567,0.030714829381583916,0.030714829381583916,-0.007271335229541413,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,-7.37257477290143e-17,-7.37257477290143e-17
