model_key,task,model_type,experiment_type,submetric,source,layer,split,language,metric,value,is_control,control_index
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,rmse,0.20070602588628578,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,mae,0.1596611589193344,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,r2,-0.020156025886535645,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,mse,0.040779586881399155,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,rmse,0.20193956244728065,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,mae,0.16276849806308746,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,r2,-0.00013434886932373047,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ja,mse,0.0630357638001442,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ja,rmse,0.25106924104745326,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ja,mae,0.20040756464004517,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ja,r2,-0.21086275577545166,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ko,mse,0.03568042069673538,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ko,rmse,0.18889261684019146,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ko,mae,0.1483713686466217,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ko,r2,-0.10788357257843018,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ru,mse,0.059071365743875504,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ru,rmse,0.24304601569224604,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ru,mae,0.19454628229141235,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ru,r2,-0.49415457248687744,True,1.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,mse,0.06487950682640076,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,rmse,0.25471455951005384,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,mae,0.2046888768672943,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,r2,-9.059906005859375e-06,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,mse,0.04681095480918884,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,rmse,0.21635839435803927,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,mae,0.17533499002456665,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,r2,-0.11850905418395996,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,mse,0.07390546053647995,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,rmse,0.2718555876499138,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,mae,0.22340241074562073,True,2.0
