experiment_id,source,model,task,is_control,control_index,submetric,languages,test_mse,test_rmse,test_mae,test_r2,val_mse,val_rmse,val_mae,val_r2,train_time,has_per_language_metrics
tfidf_Ridge_complexity_avg_subordinate_chain_len,tfidf,Ridge,complexity,False,,avg_subordinate_chain_len,"ar,en,fi,id,ja,ko,ru",0.03939764253899441,0.19848839396547702,0.14602712267078857,0.24464822964504707,0.03464916128849565,0.1861428518329287,0.12158427536186517,0.39023020721194224,0.07401394844055176,True
tfidf_all_all_results,tfidf,all,all,False,,,,,,,,,,,,,
tfidf_LogisticRegression_question_type_control1,tfidf,LogisticRegression,question,True,1.0,,"ar,en,fi,id,ja,ko,ru",,,,,,,,,0.2582993507385254,True
tfidf_Ridge_complexity,tfidf,Ridge,complexity,False,,,"ar,en,fi,id,ja,ko,ru",0.02617858559723656,0.16179797772913157,0.12907747825580945,0.4215514664697695,0.02834229564475883,0.1683517022330301,0.13133771533684654,0.49083574300101995,0.08016443252563477,True
tfidf_Ridge_complexity_control1_avg_links_len,tfidf,Ridge,complexity,True,1.0,avg_links_len,"ar,en,fi,id,ja,ko,ru",0.03863740218544372,0.1965639900527147,0.14212373909971018,-0.398740586569895,0.03016345499422267,0.17367629370245863,0.12881110099705262,-0.1529933276014217,0.07599759101867676,True
tfidf_XGBRegressor_complexity_control3_avg_links_len,tfidf,XGBRegressor,complexity,True,3.0,avg_links_len,"ar,en,fi,id,ja,ko,ru",0.03833713382482529,0.19579870741357128,0.13999482989311218,-0.3878704309463501,0.029128514230251312,0.17067077731776847,0.12393166124820709,-0.1134328842163086,161.32148432731628,True
tfidf_Ridge_complexity_control3_avg_verb_edges,tfidf,Ridge,complexity,True,3.0,avg_verb_edges,"ar,en,fi,id,ja,ko,ru",0.07813968753211233,0.27953476980889574,0.23299620950735245,-0.23629211694111985,0.060280918239965266,0.24552172661490726,0.20492785250881743,-0.09771311356876744,0.22423672676086426,True
tfidf_Ridge_complexity_control2_avg_links_len,tfidf,Ridge,complexity,True,2.0,avg_links_len,"ar,en,fi,id,ja,ko,ru",0.03769851918856617,0.1941610650685821,0.1401143510335144,-0.36475140304585985,0.02734994285381034,0.16537818131123083,0.1220649936873229,-0.04544726811843702,0.05751919746398926,True
tfidf_XGBRegressor_complexity_avg_links_len,tfidf,XGBRegressor,complexity,False,,avg_links_len,"ar,en,fi,id,ja,ko,ru",0.03211323544383049,0.17920166138691485,0.1298091858625412,-0.16255462169647217,0.014561771415174007,0.12067216503889373,0.08550466597080231,0.4433785676956177,172.58408188819885,True
tfidf_XGBClassifier_question_type_control1,tfidf,XGBClassifier,question,True,1.0,,"ar,en,fi,id,ja,ko,ru",,,,,,,,,147.11417889595032,True
