experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ja,question_type,None,None,4,recall,0.9636363636363636
probe,ja,complexity,None,None,4,loss,0.01674107788130641
probe,ja,complexity,None,None,4,mse,0.01669086143374443
probe,ja,complexity,None,None,4,rmse,0.1291931168203029
probe,ja,complexity,None,None,4,r2,0.6793829202651978
probe,ko,question_type,None,None,4,loss,0.6644829171044486
probe,ko,question_type,None,None,4,accuracy,0.6545454545454545
probe,ko,question_type,None,None,4,f1,0.6041666666666666
probe,ko,question_type,None,None,4,precision,0.7073170731707317
probe,ko,question_type,None,None,4,recall,0.5272727272727272
probe,ko,complexity,None,None,4,loss,0.03518618590065411
probe,ko,complexity,None,None,4,mse,0.03518727794289589
probe,ko,complexity,None,None,4,rmse,0.18758272293283274
probe,ko,complexity,None,None,4,r2,-0.09257137775421143
probe,ru,question_type,None,None,4,loss,0.5182308980396816
probe,ru,question_type,None,None,4,accuracy,0.9636363636363636
probe,ru,question_type,None,None,4,f1,0.9629629629629629
probe,ru,question_type,None,None,4,precision,0.9811320754716981
probe,ru,question_type,None,None,4,recall,0.9454545454545454
probe,ru,complexity,None,None,4,loss,0.05484178875173841
probe,ru,complexity,None,None,4,mse,0.05462970212101936
probe,ru,complexity,None,None,4,rmse,0.23372997694138287
probe,ru,complexity,None,None,4,r2,-0.3818068504333496
probe,ar,question_type,None,None,5,loss,0.7253933191299439
probe,ar,question_type,None,None,5,accuracy,0.7272727272727273
probe,ar,question_type,None,None,5,f1,0.5882352941176471
probe,ar,question_type,None,None,5,precision,0.5172413793103449
probe,ar,question_type,None,None,5,recall,0.6818181818181818
probe,ar,complexity,None,None,5,loss,0.034928304702043535
probe,ar,complexity,None,None,5,mse,0.034776024520397186
probe,ar,complexity,None,None,5,rmse,0.18648330895926635
probe,ar,complexity,None,None,5,r2,0.4004768133163452
probe,en,question_type,None,None,5,loss,0.5222400426864624
probe,en,question_type,None,None,5,accuracy,0.9727272727272728
probe,en,question_type,None,None,5,f1,0.972972972972973
probe,en,question_type,None,None,5,precision,0.9642857142857143
probe,en,question_type,None,None,5,recall,0.9818181818181818
probe,en,complexity,None,None,5,loss,0.019904377071985176
probe,en,complexity,None,None,5,mse,0.01990492269396782
probe,en,complexity,None,None,5,rmse,0.1410848067439149
probe,en,complexity,None,None,5,r2,0.483506977558136
probe,fi,question_type,None,None,5,loss,0.5449674640383039
probe,fi,question_type,None,None,5,accuracy,0.9454545454545454
probe,fi,question_type,None,None,5,f1,0.9454545454545454
probe,fi,question_type,None,None,5,precision,0.9454545454545454
probe,fi,question_type,None,None,5,recall,0.9454545454545454
probe,fi,complexity,None,None,5,loss,0.029950099864176342
probe,fi,complexity,None,None,5,mse,0.030116546899080276
probe,fi,complexity,None,None,5,rmse,0.1735411965473336
probe,fi,complexity,None,None,5,r2,0.23730486631393433
probe,id,question_type,None,None,5,loss,0.6051885741097587
probe,id,question_type,None,None,5,accuracy,0.7909090909090909
probe,id,question_type,None,None,5,f1,0.7676767676767676
probe,id,question_type,None,None,5,precision,0.8636363636363636
probe,id,question_type,None,None,5,recall,0.6909090909090909
probe,id,complexity,None,None,5,loss,0.027565227954515388
probe,id,complexity,None,None,5,mse,0.027490098029375076
probe,id,complexity,None,None,5,rmse,0.16580138126497945
probe,id,complexity,None,None,5,r2,0.3257952332496643
probe,ja,question_type,None,None,5,loss,0.6774450838565826
probe,ja,question_type,None,None,5,accuracy,0.6304347826086957
