experiment_id,language,task,layer_index,hidden_size,dropout,learning_rate,metric,value
47,ar,complexity,12,50,0.25,1e-4,r2,-0.04853928089141846
48,ar,complexity,12,50,0.25,2e-5,loss,0.059640760719776156
48,ar,complexity,12,50,0.25,2e-5,mse,0.059181634336709976
48,ar,complexity,12,50,0.25,2e-5,rmse,0.24327275707877768
48,ar,complexity,12,50,0.25,2e-5,r2,-0.02026498317718506
49,ar,complexity,12,96,0.01,1e-4,loss,0.04939236044883728
49,ar,complexity,12,96,0.01,1e-4,mse,0.04905439168214798
49,ar,complexity,12,96,0.01,1e-4,rmse,0.22148226042314986
49,ar,complexity,12,96,0.01,1e-4,r2,0.15432411432266235
50,ar,complexity,12,96,0.01,2e-5,loss,0.0591778889298439
50,ar,complexity,12,96,0.01,2e-5,mse,0.05865708366036415
50,ar,complexity,12,96,0.01,2e-5,rmse,0.24219224525232874
50,ar,complexity,12,96,0.01,2e-5,r2,-0.011222004890441895
51,ar,complexity,12,96,0.1,1e-4,loss,0.05682263597846031
51,ar,complexity,12,96,0.1,1e-4,mse,0.0565778985619545
51,ar,complexity,12,96,0.1,1e-4,rmse,0.23786109089541
51,ar,complexity,12,96,0.1,1e-4,r2,0.024622201919555664
52,ar,complexity,12,96,0.1,2e-5,loss,0.06439595744013786
52,ar,complexity,12,96,0.1,2e-5,mse,0.06383616477251053
52,ar,complexity,12,96,0.1,2e-5,rmse,0.2526581975169429
52,ar,complexity,12,96,0.1,2e-5,r2,-0.10050714015960693
53,ar,complexity,12,96,0.25,1e-4,loss,0.07195043116807938
53,ar,complexity,12,96,0.25,1e-4,mse,0.07201145589351654
53,ar,complexity,12,96,0.25,1e-4,rmse,0.268349503248127
53,ar,complexity,12,96,0.25,1e-4,r2,-0.24144554138183594
54,ar,complexity,12,96,0.25,2e-5,loss,0.06660031974315643
54,ar,complexity,12,96,0.25,2e-5,mse,0.0659978836774826
54,ar,complexity,12,96,0.25,2e-5,rmse,0.25690053265317025
54,ar,complexity,12,96,0.25,2e-5,r2,-0.13777410984039307
55,ar,complexity,12,128,0.01,1e-4,loss,0.04575084522366524
55,ar,complexity,12,128,0.01,1e-4,mse,0.045195333659648895
55,ar,complexity,12,128,0.01,1e-4,rmse,0.21259194166206982
55,ar,complexity,12,128,0.01,1e-4,r2,0.2208525538444519
56,ar,complexity,12,128,0.01,2e-5,loss,0.05334755480289459
56,ar,complexity,12,128,0.01,2e-5,mse,0.05294885113835335
56,ar,complexity,12,128,0.01,2e-5,rmse,0.23010617362068614
56,ar,complexity,12,128,0.01,2e-5,r2,0.0871853232383728
57,ar,complexity,12,128,0.1,1e-4,loss,0.05113793089985848
57,ar,complexity,12,128,0.1,1e-4,mse,0.050610825419425964
57,ar,complexity,12,128,0.1,1e-4,rmse,0.22496849872687946
57,ar,complexity,12,128,0.1,1e-4,r2,0.12749189138412476
58,ar,complexity,12,128,0.1,2e-5,loss,0.055726423114538196
58,ar,complexity,12,128,0.1,2e-5,mse,0.05525008216500282
58,ar,complexity,12,128,0.1,2e-5,rmse,0.2350533602503968
58,ar,complexity,12,128,0.1,2e-5,r2,0.04751318693161011
59,ar,complexity,12,128,0.25,1e-4,loss,0.05637211576104164
59,ar,complexity,12,128,0.25,1e-4,mse,0.05589209124445915
59,ar,complexity,12,128,0.25,1e-4,rmse,0.23641508252321625
59,ar,complexity,12,128,0.25,1e-4,r2,0.0364452600479126
60,ar,complexity,12,128,0.25,2e-5,loss,0.05582617074251175
60,ar,complexity,12,128,0.25,2e-5,mse,0.05542222410440445
60,ar,complexity,12,128,0.25,2e-5,rmse,0.2354192517709723
60,ar,complexity,12,128,0.25,2e-5,r2,0.04454547166824341
61,ar,complexity,12,256,0.01,1e-4,loss,0.0452412910759449
61,ar,complexity,12,256,0.01,1e-4,mse,0.04474349692463875
61,ar,complexity,12,256,0.01,1e-4,rmse,0.21152658680326392
61,ar,complexity,12,256,0.01,1e-4,r2,0.22864198684692383
62,ar,complexity,12,256,0.01,2e-5,loss,0.0520573727786541
62,ar,complexity,12,256,0.01,2e-5,mse,0.051446832716464996
62,ar,complexity,12,256,0.01,2e-5,rmse,0.2268189425873972
62,ar,complexity,12,256,0.01,2e-5,r2,0.1130794882774353
63,ar,complexity,12,256,0.1,1e-4,loss,0.05928415283560753
63,ar,complexity,12,256,0.1,1e-4,mse,0.058399900794029236
63,ar,complexity,12,256,0.1,1e-4,rmse,0.2416607142131903
63,ar,complexity,12,256,0.1,1e-4,r2,-0.0067882537841796875
64,ar,complexity,12,256,0.1,2e-5,loss,0.05481462404131889
64,ar,complexity,12,256,0.1,2e-5,mse,0.05410686135292053
