task,language,experiment_type,test_primary_value_mean,test_primary_value_std,test_primary_value_count,test_mse_mean,test_mse_std,test_mse_count,test_r2_mean,test_r2_std,test_r2_count,test_samples_mean,test_samples_std,test_samples_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_count,test_recall_mean,test_recall_std,test_recall_count,test_f1_mean,test_f1_std,test_f1_count
avg_subordinate_chain_len,ja,main,0.0831613604811693,0.008421126879264135,3,0.0831613604811693,0.008421126879264135,3,-0.13016528307754127,0.11444335672563336,3,92.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ko,control,0.060874905297907095,0.006984941691120553,9,0.060874905297907095,0.006984941691120553,9,-0.20471856886457762,0.1382324771849556,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ko,main,0.05376663297629342,0.009430841483135787,3,0.05376663297629342,0.009430841483135787,3,-0.06404537000723949,0.18663700254072757,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ru,control,0.058035912230864045,0.0035063755771363686,9,0.058035912230864045,0.0035063755771363686,9,-0.5366885594921713,0.09284263876535946,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ru,main,0.045168844107797625,0.009447216280097837,3,0.045168844107797625,0.009447216280097837,3,-0.19599129776450475,0.2501456187838472,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,ar,control,0.13354606525769674,0.006875649823148873,9,0.13354606525769674,0.006875649823148873,9,-0.9348924664425202,0.09961838275831075,9,77.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,ar,main,0.108101608288438,0.018628377639512746,3,0.108101608288438,0.018628377639512746,3,-0.566238489198498,0.26989868617384954,3,77.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,en,control,0.06314613203470776,0.0031313566948162775,9,0.06314613203470776,0.0031313566948162775,9,-0.06156256075430703,0.05264187883681035,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,en,main,0.05078455602520809,0.009619079935936976,3,0.05078455602520809,0.009619079935936976,3,0.14625042573852778,0.16170832321576084,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,fi,control,0.09856006797679567,0.0053099869801371226,9,0.09856006797679567,0.0053099869801371226,9,-0.39284483119974223,0.0750404100853825,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,fi,main,0.07650167749465327,0.01570093930615171,3,0.07650167749465327,0.01570093930615171,3,-0.08111701081237128,0.22188471057774584,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,id,control,0.07156766441285872,0.007578703831982088,9,0.07156766441285872,0.007578703831982088,9,-0.12051924266715736,0.1186581055547967,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,id,main,0.07613188546956941,0.012813155895837454,3,0.07613188546956941,0.012813155895837454,3,-0.19198025182246048,0.20061277475474495,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,ja,control,0.11207044603249924,0.004888063217397682,9,0.11207044603249924,0.004888063217397682,9,-0.17318301719908658,0.05116953627527749,9,92.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,ja,main,0.10510265938393477,0.002377843647870785,3,0.10510265938393477,0.002377843647870785,3,-0.10024238697091858,0.024891895089163455,3,92.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,ko,control,0.04353511911025368,0.004214075939088966,9,0.04353511911025368,0.004214075939088966,9,-0.2548251249857285,0.12146350980629834,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,ko,main,0.04398437625095062,0.0028065980050218154,3,0.04398437625095062,0.0028065980050218154,3,-0.2677741913773491,0.08089537284869222,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_verb_edges,ru,control,0.04809500647445207,0.0039214963099319135,9,0.04809500647445207,0.0039214963099319135,9,-0.1751324261635663,0.09581613166700932,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_verb_edges,ru,main,0.04505943220931095,0.0014161030657823227,3,0.04505943220931095,0.0014161030657823227,3,-0.1009625276130824,0.034600445105967784,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ar,control,0.06153130847354592,0.0038062318701049427,9,0.06153130847354592,0.0038062318701049427,9,-0.060772329542762855,0.06561774075334327,9,77.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ar,main,0.04593449877738876,0.011849468347114462,3,0.04593449877738876,0.011849468347114462,3,0.20810971709762038,0.20427955221878413,3,77.0,0.0,3,,,0,,,0,,,0,,,0
lang_norm_complexity_score,en,control,0.04166849747259683,0.0027865118313969246,9,0.04166849747259683,0.0027865118313969246,9,-0.0812143830495397,0.07230442308666013,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,en,main,0.026589878361906048,0.010789869463161813,3,0.026589878361906048,0.010789869463161813,3,0.3100457018557606,0.27997558737196576,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lang_norm_complexity_score,fi,control,0.04145244778860677,0.002010926230635994,9,0.04145244778860677,0.002010926230635994,9,-0.04977432441777073,0.050926274269383225,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,fi,main,0.03633232653850054,0.00405213216378741,3,0.03633232653850054,0.00405213216378741,3,0.079891644976313,0.10261937549223833,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lang_norm_complexity_score,id,control,0.04346659291187808,0.002984143013904538,9,0.04346659291187808,0.002984143013904538,9,-0.06603425970781839,0.07318721058122449,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,id,main,0.03192361774256508,0.007738318290285559,3,0.03192361774256508,0.007738318290285559,3,0.2170614734772337,0.189785116737635,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ja,control,0.061826211731473034,0.0027930686334706354,9,0.061826211731473034,0.0027930686334706354,9,-0.1876283591204548,0.05365244651389399,9,92.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ja,main,0.04569014080866435,0.012703450351593643,3,0.04569014080866435,0.012703450351593643,3,0.12233168688623226,0.2440223567595878,3,92.0,0.0,3,,,0,,,0,,,0,,,0
