language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
ja,0.0190480258315801,0.0320644006133079,0.0331432856619358,0.030340950936079,0.03184954573710757,0.01280151990552747,40.19372838530803,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ko,0.0144669394940137,0.0349931642413139,0.0312858670949935,0.0364529080688953,0.034243979801734235,0.019777040307720536,57.75333481162419,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ru,0.0136380083858966,0.0391948632895946,0.0389299467206001,0.0379498153924942,0.0386915418008963,0.025053533414999697,64.75196450925439,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ar,0.0938125178217887,0.1134155094623565,0.1172750741243362,0.1216992735862732,0.11746328572432196,0.02365076790253326,20.134604405703364,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
en,0.0409167110919952,0.0646679177880287,0.0604472123086452,0.0596701316535472,0.061595087250073705,0.020678376158078507,33.5714698708439,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
fi,0.0568475760519504,0.0985418111085891,0.0890585780143737,0.0878311395645141,0.0918105095624923,0.0349629335105419,38.08162450807859,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
id,0.0617013797163963,0.0655482187867164,0.0655271038413047,0.0669712647795677,0.06601552913586294,0.004314149419466638,6.535052397425951,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ja,0.0864274725317955,0.1046293526887893,0.1005779728293418,0.1012881770730018,0.10216516753037763,0.01573769499858213,15.404168934488077,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ko,0.0424606688320636,0.0390971936285495,0.0429832935333251,0.0360376611351966,0.039372716099023736,-0.003087952733039863,-7.842874556262655,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ru,0.0455559119582176,0.046232808381319,0.0443689078092575,0.0447388775646686,0.045113531251748364,-0.00044238070646923644,-0.9805942789107027,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ar,0.0304308459162712,0.0482044667005538,0.0477779582142829,0.0500282980501651,0.048670240988333925,0.018239395072062726,37.47545666855161,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
en,0.0113776866346597,0.0270242262631654,0.0262743756175041,0.0269643887877464,0.0267543302228053,0.015376643588145599,57.47347610682701,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
fi,0.0238350685685873,0.0300902128219604,0.0339420698583126,0.0339768752455711,0.0326697193086147,0.008834650740027403,27.042322147217803,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
id,0.0281673353165388,0.0355903469026088,0.0293984580785036,0.0326424650847911,0.0325437566886345,0.004376421372095696,13.447806330312527,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ja,0.035219844430685,0.0856339186429977,0.0796683132648468,0.076783187687397,0.08069513986508049,0.04547529543439549,56.35444155673889,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ko,0.0180397275835275,0.0338152013719081,0.0351664721965789,0.034480981528759,0.034487551699082,0.0164478241155545,47.69206077331466,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ru,0.0171179380267858,0.0240758657455444,0.0238261073827743,0.0244588013738393,0.024120258167386,0.007002320140600201,29.030867298378787,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ar,0.0533161535859108,0.0562560521066188,0.0538057722151279,0.0532261505722999,0.0544293249646822,0.0011131713787714062,2.045168444572323,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
en,0.0172598976641893,0.0270406939089298,0.0289990715682506,0.0289698354899883,0.0283365336557229,0.0110766359915336,39.08959411235728,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
fi,0.0213652495294809,0.0347876362502574,0.0308553781360387,0.0325933210551738,0.03274544514715663,0.011380195617675733,34.75352241062419,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
id,0.0296769924461841,0.0384053587913513,0.0397600643336772,0.0386634096503257,0.0389429442584514,0.0092659518122673,23.793660157722673,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ja,0.047093816101551,0.083739086985588,0.0827429965138435,0.0952530950307846,0.08724505951007204,0.04015124340852104,46.02122301708759,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ko,0.0130961397662758,0.0373022183775901,0.0346234627068042,0.0338100343942642,0.03524523849288617,0.022149098726610368,62.842811323523605,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ru,0.0260002613067626,0.0255182143300771,0.0232960116118192,0.0249656997621059,0.024593308568000734,-0.0014069527387618672,-5.720876208549286,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ar,0.0274897702038288,0.0507643707096576,0.0519679673016071,0.0506756752729415,0.05113600442806873,0.02364623422423993,46.241849531873925,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
en,0.0103081157431006,0.0285752434283494,0.0277460105717182,0.0283771753311157,0.028232809777061097,0.0179246940339605,63.48887757011047,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
fi,0.0204323008656501,0.0312119610607624,0.0316125229001045,0.0318911112844944,0.0315718650817871,0.011139564216137002,35.28319973267305,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
id,0.0243410579860021,0.0322232730686664,0.0328550674021244,0.0336235463619232,0.032900628944238,0.008559570958235903,26.016435651559082,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ja,0.0480684749782085,0.0810370370745658,0.083924688398838,0.0755177661776542,0.08015983055035268,0.03209135557214418,40.034210840785,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ko,0.0151948248967528,0.0358258448541164,0.0351521894335746,0.0348313823342323,0.0352698055406411,0.020074980643888303,56.918319611249544,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ru,0.0098820682615041,0.0247133318334817,0.0254829954355955,0.0250410214066505,0.02507911622524257,0.01519704796373847,60.596425437202505,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ar,0.0574313700199127,0.0670000463724136,0.0718803033232688,0.0661921650171279,0.0683575049042701,0.010926134884357404,15.98381172580639,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
en,0.0163177829235792,0.0292842891067266,0.0276546701788902,0.0282251797616481,0.0283880463490883,0.012070263425509101,42.51882386368143,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
fi,0.0391304194927215,0.0519094243645668,0.0536698997020721,0.0544141307473182,0.05333115160465237,0.014200732111930868,26.62746197044817,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
id,0.0439334921538829,0.0766122415661811,0.0788221508264541,0.059815626591444,0.0717500063280264,0.027816514174143506,38.768657450665685,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
