Language,Model,Submetric,Real_MSE,Control_MSE,Raw_Difference,Normalized_Difference
Indonesian,Ridge,lexical_density,0.0378730408992781,0.06601466905416867,0.028141628154890568,0.4262935580544805
Japanese,Ridge,lexical_density,0.0770873584933994,0.06359836837673044,-0.013488990116668959,-0.21209648078966048
Korean,Ridge,lexical_density,0.0592314564206086,0.08124544405178409,0.022013987631175493,0.27095657963472086
Russian,Ridge,lexical_density,0.0430950803586705,0.06445547513520287,0.021360394776532378,0.33139767772600326
Arabic,Ridge,avg_verb_edges,0.0905166101641355,0.12594523407836367,0.03542862391422817,0.28130182276039384
English,Ridge,avg_verb_edges,0.0452925471327799,0.06651732822253,0.021224781089750094,0.3190864945558814
Finnish,Ridge,avg_verb_edges,0.0661138561069919,0.08856188457976684,0.02244802847277494,0.25347279565348696
Indonesian,Ridge,avg_verb_edges,0.0696084322401399,0.0752090374851625,0.005600605245022594,0.07446718416157767
Japanese,Ridge,avg_verb_edges,0.0941966525014839,0.10704585430013554,0.012849201798651635,0.12003455792528872
Korean,Ridge,avg_verb_edges,0.0377534540249676,0.041274282402465466,0.003520828377497863,0.08530320026321163
Russian,Ridge,avg_verb_edges,0.0419691869629715,0.051174243441687105,0.009205056478715605,0.17987674774722834
Arabic,Ridge,n_tokens,0.0382494411190466,0.0809806235313984,0.0427311824123518,0.5276716892132073
English,Ridge,n_tokens,0.0268395356320768,0.0302732372415549,0.0034337016094781007,0.11342366797709998
Finnish,Ridge,n_tokens,0.0145329849322847,0.018281939167534036,0.003748954235249336,0.20506327041646177
Indonesian,Ridge,n_tokens,0.0220306895665391,0.035056261824881606,0.013025572258342506,0.3715619287478464
Japanese,Ridge,n_tokens,0.0348731746475535,0.060991258114180304,0.026118083466626807,0.4282266717261637
Korean,Ridge,n_tokens,0.0462046010926254,0.07137440037942656,0.025169799286801166,0.35264463383227634
Russian,Ridge,n_tokens,0.0116103156783622,0.015593783651914434,0.003983467973552235,0.25545230474344743
Arabic,XGBoost,avg_links_len,0.0451553016901016,0.05756429086128867,0.012408989171187067,0.21556748090736874
English,XGBoost,avg_links_len,0.0093499133363366,0.011898236038784133,0.002548322702447533,0.21417651273187743
Finnish,XGBoost,avg_links_len,0.0215784814208745,0.0223489291965961,0.000770447775721602,0.03447358792648315
Indonesian,XGBoost,avg_links_len,0.0243570692837238,0.035647819439570065,0.011290750155846265,0.31673045738425226
Japanese,XGBoost,avg_links_len,0.0986155420541763,0.10510053982337314,0.0064849977691968375,0.06170280171819488
Korean,XGBoost,avg_links_len,0.017975041642785,0.027894863237937235,0.009919821595152235,0.35561463451310993
Russian,XGBoost,avg_links_len,0.0225561112165451,0.021012470126152,-0.001543641090393101,-0.07346309506334023
Arabic,XGBoost,avg_max_depth,0.0284759625792503,0.05090731506546329,0.022431352486212988,0.4406312227892557
English,XGBoost,avg_max_depth,0.0116611588746309,0.0299032262216011,0.0182420673469702,0.6100367636517003
Finnish,XGBoost,avg_max_depth,0.0172411613166332,0.035615292688210766,0.018374131371577566,0.5159056681755053
Indonesian,XGBoost,avg_max_depth,0.0285029225051403,0.030769156292080834,0.002266233786940533,0.07365277635265552
Japanese,XGBoost,avg_max_depth,0.0633264556527137,0.08954249074061711,0.026216035087903405,0.2927775949838709
Korean,XGBoost,avg_max_depth,0.0179967172443866,0.038200120131174665,0.020203402886788065,0.5288832290948821
Russian,XGBoost,avg_max_depth,0.0149314971640706,0.025298653791348102,0.010367156627277503,0.4097908415515363
Arabic,XGBoost,avg_subordinate_chain_len,0.0574313700199127,0.0683575049042701,0.010926134884357404,0.1598381172580639
English,XGBoost,avg_subordinate_chain_len,0.0163177829235792,0.0283880463490883,0.012070263425509101,0.4251882386368143
Finnish,XGBoost,avg_subordinate_chain_len,0.0391304194927215,0.05333115160465237,0.014200732111930868,0.2662746197044817
Indonesian,XGBoost,avg_subordinate_chain_len,0.0439334921538829,0.0717500063280264,0.027816514174143506,0.38768657450665683
Japanese,XGBoost,avg_subordinate_chain_len,0.0720668137073516,0.11204980562130602,0.03998299191395442,0.35683231838067325
Korean,XGBoost,avg_subordinate_chain_len,0.0546709597110748,0.06705345213413234,0.012382492423057542,0.18466599450074336
Russian,XGBoost,avg_subordinate_chain_len,0.0406591333448886,0.05430807297428444,0.01364893962939584,0.25132432218426876
Arabic,XGBoost,lexical_density,0.0673727840185165,0.06801026066144304,0.0006374766429265433,0.009373242165618504
English,XGBoost,lexical_density,0.0282840505242347,0.03206381822625787,0.0037797677020231686,0.117882645022227
Finnish,XGBoost,lexical_density,0.0575177185237407,0.054549237092336,-0.0029684814314046987,-0.054418385840665794
Indonesian,XGBoost,lexical_density,0.0398102588951587,0.06512730568647383,0.025317046791315134,0.3887316775116214
Japanese,XGBoost,lexical_density,0.077939473092556,0.0653172135353088,-0.012622259557247203,-0.19324553014534118
Korean,XGBoost,lexical_density,0.0626168400049209,0.07995726168155666,0.017340421676635756,0.21687112980052922
Russian,XGBoost,lexical_density,0.0518310517072677,0.0605602177480856,0.008729166040817901,0.14414026840406866
Arabic,XGBoost,avg_verb_edges,0.10744109749794,0.12418699761231737,0.016745900114377377,0.134844230365035
English,XGBoost,avg_verb_edges,0.050181571394205,0.06385549654563263,0.01367392515142763,0.21413857680451867
Finnish,XGBoost,avg_verb_edges,0.0664499998092651,0.0847879573702812,0.01833795756101611,0.21628021395693744
Indonesian,XGBoost,avg_verb_edges,0.0773122534155845,0.0729940111438433,-0.004318242271741199,-0.05915885706337735
Japanese,XGBoost,avg_verb_edges,0.0968089178204536,0.10911521563927327,0.012306297818819673,0.11278260091152979
Korean,XGBoost,avg_verb_edges,0.0371718592941761,0.0385300902028878,0.001358230908711698,0.035251173863327726
Russian,XGBoost,avg_verb_edges,0.0454679317772388,0.04833546156684554,0.0028675297896067417,0.05932559029442784
Arabic,XGBoost,n_tokens,0.0376175865530967,0.07422614594300583,0.03660855938990913,0.49320302064475807
English,XGBoost,n_tokens,0.0183263104408979,0.0256581691404183,0.0073318586995204,0.2857514368774977
Finnish,XGBoost,n_tokens,0.0114493938162922,0.018031721313794432,0.006582327497502233,0.3650415499970428
Indonesian,XGBoost,n_tokens,0.0349365174770355,0.030883834386865233,-0.0040526830901702685,-0.1312234432876592
Japanese,XGBoost,n_tokens,0.0282169114798307,0.0641166468461354,0.0358997353663047,0.5599128640094899
Korean,XGBoost,n_tokens,0.0333123840391635,0.06757754584153487,0.03426516180237137,0.5070495143863472
Russian,XGBoost,n_tokens,0.0089824656024575,0.014839583386977467,0.005857117784519967,0.39469556737420963
