language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
ja,0.0968089178204536,0.1080954894423484,0.1070510894060134,0.112199068069458,0.1091152156392732,0.0123062978188196,11.27826009115298,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
ko,0.0371718592941761,0.0392042212188243,0.0408824197947979,0.0355036295950412,0.0385300902028878,0.0013582309087116,3.5251173863327727,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
ru,0.0454679317772388,0.0457377359271049,0.0479658357799053,0.0513028129935264,0.0483354615668455,0.0028675297896067,5.932559029442784,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
ar,0.0383486786909414,0.0624711313972201,0.0641881825050343,0.0681968445250552,0.0649520528091032,0.0266033741181618,40.95848086025892,complexity,Ridge,mse,test,complexity,
en,0.0202918706770314,0.0425737584398021,0.0417675411811053,0.0425237695956173,0.0422883564055082,0.0219964857284768,52.015466190148985,complexity,Ridge,mse,test,complexity,
fi,0.0281276106200392,0.0374426075372978,0.0435525423333653,0.0419183205435827,0.0409711568047486,0.0128435461847094,31.347775328669314,complexity,Ridge,mse,test,complexity,
id,0.0210186370545752,0.0445482790189448,0.0427626072124966,0.0481201091007723,0.0451436651107379,0.0241250280561626,53.44056136555094,complexity,Ridge,mse,test,complexity,
ja,0.0355114785647435,0.0588218669806546,0.0570572262503694,0.0701896437230243,0.0620229123180161,0.0265114337532725,42.744580611335934,complexity,Ridge,mse,test,complexity,
ko,0.0190589824799033,0.0366108968899961,0.0376362137950081,0.0409381401429348,0.038395083609313,0.0193361011294097,50.36087777842367,complexity,Ridge,mse,test,complexity,
ru,0.0260710696889433,0.0660211675589707,0.0579510807451696,0.0646503418196503,0.0628741967079302,0.0368031270189869,58.53454826619677,complexity,Ridge,mse,test,complexity,
