model_type,language,task,submetric,control_index,layer_index,metric,value
DummyRegressor,id,complexity,complexity,,,mse,0.0407795868813991
DummyRegressor,id,complexity,complexity,mean_control,,mse,0.0407795868813991
XGBRegressor,id,complexity,complexity,,,mse,0.019750302657485
XGBRegressor,id,complexity,complexity,mean_control,,mse,0.040805539737145
Ridge,id,complexity,complexity,,,mse,0.0210186370545752
Ridge,id,complexity,complexity,mean_control,,mse,0.0451436651107379
DummyClassifier,id,question_type,overall,,,accuracy,0.5
DummyClassifier,id,question_type,overall,mean_control,,accuracy,0.5
LogisticRegression,id,question_type,overall,,,accuracy,0.5727272727272728
LogisticRegression,id,question_type,overall,mean_control,,accuracy,0.4727272727272726
XGBClassifier,id,question_type,overall,,,accuracy,0.6909090909090909
XGBClassifier,id,question_type,overall,mean_control,,accuracy,0.5
XGBRegressor,id,single_submetric,avg_links_len,,,mse,0.0243570692837238
XGBRegressor,id,single_submetric,avg_links_len,mean_control,,mse,0.03564781943957
DummyRegressor,id,single_submetric,avg_links_len,,,mse,0.0338220559060573
DummyRegressor,id,single_submetric,avg_links_len,mean_control,,mse,0.0338220559060573
Ridge,id,single_submetric,avg_links_len,,,mse,0.0263448763543937
Ridge,id,single_submetric,avg_links_len,mean_control,,mse,0.0362644342825871
DummyRegressor,id,single_submetric,avg_max_depth,,,mse,0.0326110012829303
DummyRegressor,id,single_submetric,avg_max_depth,mean_control,,mse,0.0326110012829303
Ridge,id,single_submetric,avg_max_depth,,,mse,0.0182645023269505
Ridge,id,single_submetric,avg_max_depth,mean_control,,mse,0.0344070919057221
XGBRegressor,id,single_submetric,avg_max_depth,,,mse,0.0285029225051403
XGBRegressor,id,single_submetric,avg_max_depth,mean_control,,mse,0.0307691562920808
XGBRegressor,id,single_submetric,avg_subordinate_chain_len,,,mse,0.0439334921538829
XGBRegressor,id,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0717500063280264
Ridge,id,single_submetric,avg_subordinate_chain_len,,,mse,0.0352834767870278
Ridge,id,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.074706423196992
DummyRegressor,id,single_submetric,avg_subordinate_chain_len,,,mse,0.0711118429899215
DummyRegressor,id,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0711118429899215
XGBRegressor,id,single_submetric,avg_verb_edges,,,mse,0.0773122534155845
XGBRegressor,id,single_submetric,avg_verb_edges,mean_control,,mse,0.0729940111438433
Ridge,id,single_submetric,avg_verb_edges,,,mse,0.0696084322401399
Ridge,id,single_submetric,avg_verb_edges,mean_control,,mse,0.0752090374851625
DummyRegressor,id,single_submetric,avg_verb_edges,,,mse,0.0807329267263412
DummyRegressor,id,single_submetric,avg_verb_edges,mean_control,,mse,0.0807329267263412
XGBRegressor,id,single_submetric,lexical_density,,,mse,0.0398102588951587
XGBRegressor,id,single_submetric,lexical_density,mean_control,,mse,0.0651273056864738
DummyRegressor,id,single_submetric,lexical_density,,,mse,0.0529543757438659
DummyRegressor,id,single_submetric,lexical_density,mean_control,,mse,0.0529543757438658
Ridge,id,single_submetric,lexical_density,,,mse,0.0378730408992781
Ridge,id,single_submetric,lexical_density,mean_control,,mse,0.0660146690541686
XGBRegressor,id,single_submetric,n_tokens,,,mse,0.0349365174770355
XGBRegressor,id,single_submetric,n_tokens,mean_control,,mse,0.0308838343868652
Ridge,id,single_submetric,n_tokens,,,mse,0.0220306895665391
Ridge,id,single_submetric,n_tokens,mean_control,,mse,0.0350562618248816
DummyRegressor,id,single_submetric,n_tokens,,,mse,0.0297929048538208
DummyRegressor,id,single_submetric,n_tokens,mean_control,,mse,0.0297929048538208
DummyRegressor,ja,complexity,complexity,,,mse,0.0630357638001442
DummyRegressor,ja,complexity,complexity,mean_control,,mse,0.0630357638001442
XGBRegressor,ja,complexity,complexity,,,mse,0.0282608270645141
XGBRegressor,ja,complexity,complexity,mean_control,,mse,0.0597160359223683
Ridge,ja,complexity,complexity,,,mse,0.0355114785647435
Ridge,ja,complexity,complexity,mean_control,,mse,0.0620229123180161
DummyClassifier,ja,question_type,overall,,,accuracy,0.4021739130434782
DummyClassifier,ja,question_type,overall,mean_control,,accuracy,0.4021739130434782
LogisticRegression,ja,question_type,overall,,,accuracy,0.6521739130434783
LogisticRegression,ja,question_type,overall,mean_control,,accuracy,0.5398550724637681
XGBClassifier,ja,question_type,overall,,,accuracy,0.6413043478260869
XGBClassifier,ja,question_type,overall,mean_control,,accuracy,0.5253623188405797
XGBRegressor,ja,single_submetric,avg_links_len,,,mse,0.0986155420541763
XGBRegressor,ja,single_submetric,avg_links_len,mean_control,,mse,0.1051005398233731
DummyRegressor,ja,single_submetric,avg_links_len,,,mse,0.0955040529370307
DummyRegressor,ja,single_submetric,avg_links_len,mean_control,,mse,0.0955040529370307
Ridge,ja,single_submetric,avg_links_len,,,mse,0.0757571722221237
Ridge,ja,single_submetric,avg_links_len,mean_control,,mse,0.1068428464910313
DummyRegressor,ja,single_submetric,avg_max_depth,,,mse,0.0944695398211479
DummyRegressor,ja,single_submetric,avg_max_depth,mean_control,,mse,0.0944695398211479
Ridge,ja,single_submetric,avg_max_depth,,,mse,0.0530596537897196
Ridge,ja,single_submetric,avg_max_depth,mean_control,,mse,0.0840991791681843
XGBRegressor,ja,single_submetric,avg_max_depth,,,mse,0.0633264556527137
XGBRegressor,ja,single_submetric,avg_max_depth,mean_control,,mse,0.0895424907406171
XGBRegressor,ja,single_submetric,avg_subordinate_chain_len,,,mse,0.0720668137073516
XGBRegressor,ja,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.112049805621306
Ridge,ja,single_submetric,avg_subordinate_chain_len,,,mse,0.0695824108894331
