is_control,control_index,is_cross_lingual,file_path,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,test_loss,test_accuracy,test_f1,train_mse,train_rmse,train_r2,val_mse,val_rmse,val_r2,test_mse,test_rmse,test_r2,layer,model_type,task,task_type,language,submetric,train_language,eval_language,train_mae,val_mae,test_mae,train_ar_mse,train_ar_rmse,train_ar_mae,train_ar_r2,train_en_mse,train_en_rmse,train_en_mae,train_en_r2,train_fi_mse,train_fi_rmse,train_fi_mae,train_fi_r2,train_id_mse,train_id_rmse,train_id_mae,train_id_r2,train_ja_mse,train_ja_rmse,train_ja_mae,train_ja_r2,train_ko_mse,train_ko_rmse,train_ko_mae,train_ko_r2,train_ru_mse,train_ru_rmse,train_ru_mae,train_ru_r2,val_ar_mse,val_ar_rmse,val_ar_mae,val_ar_r2,val_en_mse,val_en_rmse,val_en_mae,val_en_r2,val_fi_mse,val_fi_rmse,val_fi_mae,val_fi_r2,val_id_mse,val_id_rmse,val_id_mae,val_id_r2,val_ja_mse,val_ja_rmse,val_ja_mae,val_ja_r2,val_ko_mse,val_ko_rmse,val_ko_mae,val_ko_r2,val_ru_mse,val_ru_rmse,val_ru_mae,val_ru_r2,test_ar_mse,test_ar_rmse,test_ar_mae,test_ar_r2,test_en_mse,test_en_rmse,test_en_mae,test_en_r2,test_fi_mse,test_fi_rmse,test_fi_mae,test_fi_r2,test_id_mse,test_id_rmse,test_id_mae,test_id_r2,test_ja_mse,test_ja_rmse,test_ja_mae,test_ja_r2,test_ko_mse,test_ko_rmse,test_ko_mae,test_ko_r2,test_ru_mse,test_ru_rmse,test_ru_mae,test_ru_r2,train_ar_accuracy,train_ar_f1,train_en_accuracy,train_en_f1,train_fi_accuracy,train_fi_f1,train_id_accuracy,train_id_f1,train_ja_accuracy,train_ja_f1,train_ko_accuracy,train_ko_f1,train_ru_accuracy,train_ru_f1,val_ar_accuracy,val_ar_f1,val_en_accuracy,val_en_f1,val_fi_accuracy,val_fi_f1,val_id_accuracy,val_id_f1,val_ja_accuracy,val_ja_f1,val_ko_accuracy,val_ko_f1,val_ru_accuracy,val_ru_f1,test_ar_accuracy,test_ar_f1,test_en_accuracy,test_en_f1,test_fi_accuracy,test_fi_f1,test_id_accuracy,test_id_f1,test_ja_accuracy,test_ja_f1,test_ko_accuracy,test_ko_f1,test_ru_accuracy,test_ru_f1
True,1.0,False,final_glot500_results/by_layer/layer_11/n_tokens/id/control1/results.json,0.027690164581872522,,,0.02883688025176525,,,0.033379026289497106,,,0.027657991275191307,0.16630691890354804,0.1362176537513733,0.028319163247942924,0.16828298561632107,0.1479758620262146,0.033358894288539886,0.18264417397918797,-0.12926077842712402,11.0,lm_probe,single_submetric,regression,id,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/n_tokens/id/control3/results.json,0.030714983275781076,,,0.0357335913926363,,,0.03613049403897354,,,0.030769668519496918,0.17541285163720735,0.039037346839904785,0.03541465848684311,0.1881878276798027,-0.06550264358520508,0.03612450137734413,0.19006446637218682,-0.22288179397583008,11.0,lm_probe,single_submetric,regression,id,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/n_tokens/id/control2/results.json,0.03079265682026744,,,0.034682029485702516,,,0.03840019394244466,,,0.030865224078297615,0.17568501381249801,0.03605306148529053,0.03437984734773636,0.18541803404128834,-0.03436875343322754,0.038353096693754196,0.19583946663978177,-0.2983238697052002,11.0,lm_probe,single_submetric,regression,id,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ru/control1/results.json,0.011897201103468737,,,0.02166062220931053,,,0.01207123144662806,,,0.011762694455683231,0.10845595629417147,0.19258391857147217,0.02113749459385872,0.14538739489329439,-0.07394623756408691,0.012206679210066795,0.11048384139803791,-0.07306933403015137,11.0,lm_probe,single_submetric,regression,ru,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ru/control3/results.json,0.014081077494968971,,,0.02145426906645298,,,0.011937348571206843,,,0.014095621183514595,0.11872498129506946,0.03244680166244507,0.020439818501472473,0.1429678932539487,-0.038498878479003906,0.012061093933880329,0.10982301185944743,-0.06027114391326904,11.0,lm_probe,single_submetric,regression,ru,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ru/control2/results.json,0.01295127452351153,,,0.02054364513605833,,,0.01204790933323758,,,0.013000629842281342,0.11402030451757854,0.1076093316078186,0.019851189106702805,0.14089424795463726,-0.00859212875366211,0.012175162322819233,0.11034111800602363,-0.07029879093170166,11.0,lm_probe,single_submetric,regression,ru,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/avg_max_depth/ko/control1/results.json,0.02802275093470482,,,0.03404438830912113,,,0.03659898228943348,,,0.028208568692207336,0.16795406720948242,0.03419935703277588,0.034770846366882324,0.186469424750768,-0.03785884380340576,0.03680148720741272,0.19183713719562415,-0.054032087326049805,11.0,lm_probe,single_submetric,regression,ko,avg_max_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/avg_max_depth/ko/control3/results.json,0.024769931496616375,,,0.03085399679839611,,,0.035850775827254565,,,0.02515845187008381,0.15861416037064222,0.13862872123718262,0.032127466052770615,0.17924136256113044,0.04104214906692505,0.03598563373088837,0.18969879738914627,-0.030665278434753418,11.0,lm_probe,single_submetric,regression,ko,avg_max_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/avg_max_depth/ko/control2/results.json,0.02771524401341981,,,0.03267698362469673,,,0.03663443454674312,,,0.02808033674955368,0.1675718853195657,0.0385897159576416,0.03394956886768341,0.18425408779097252,-0.013344883918762207,0.03680095076560974,0.19183573902067816,-0.054016828536987305,11.0,lm_probe,single_submetric,regression,ko,avg_max_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/avg_max_depth/fi/control1/results.json,0.025960281031827133,,,0.04650672618299723,,,0.03302417402820928,,,0.025993790477514267,0.1612258989043456,0.16169250011444092,0.046338580548763275,0.2152639787534442,-0.014444112777709961,0.033074572682380676,0.18186415997216349,-0.08465754985809326,11.0,lm_probe,single_submetric,regression,fi,avg_max_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
