experiment_type,language,task,submetric,control_index,metric,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
probe,ar,single_submetric,lexical_density,,mse,0.0579299628734588,0.0576712191104888,0.0544430054724216,0.0602209530770778,0.0648190528154373,0.0642499700188636,0.0569449514150619,0.0610712021589279,0.0569748431444168,0.0602357313036918,0.0598114505410194,0.0570369139313697
probe,ar,single_submetric,lexical_density,mean_control,mse,0.0638356059789657,0.06014207378029817,0.060674083729584966,0.06316130856672919,0.06351942569017406,0.06302957112590467,0.06028753767410907,0.06315421809752776,0.05909477670987443,0.061252895742654766,0.0614182067414124,0.060191736867030395
probe,ar,single_submetric,n_tokens,,mse,0.0423019863665103,0.0482051484286785,0.044227086007595,0.0369752086699008,0.0388262346386909,0.0402470976114273,0.0479598566889762,0.0420018248260021,0.049804713577032,0.0518261343240737,0.0548338703811168,0.0787296742200851
probe,ar,single_submetric,n_tokens,mean_control,mse,0.08845237642526622,0.09151983509461083,0.08820208658774686,0.0911248003443082,0.08276853462060287,0.07990303883949913,0.07847718894481653,0.07823997239271796,0.0806017393867174,0.08246036867300667,0.10493126263221099,0.0796923960248629
probe,en,complexity,,,mse,0.0165211483836174,0.0181737840175628,0.0223008263856172,0.0203608497977256,0.0199049226939678,0.0172489937394857,0.032355424016714,0.0196378510445356,0.0230465866625309,0.0362035520374774,0.0382068902254104,0.0435507521033287
probe,en,question_type,,,accuracy,0.9363636363636364,0.8545454545454545,0.9090909090909092,0.9545454545454546,0.9727272727272728,0.9636363636363636,0.9363636363636364,0.9454545454545454,0.9545454545454546,0.9545454545454546,0.9272727272727272,0.9
probe,en,single_submetric,avg_links_len,,mse,0.0104158297181129,0.010285647585988,0.0114889563992619,0.0107106966897845,0.0106121785938739,0.0090239197015762,0.0099181113764643,0.0103379776701331,0.0100176576524972,0.0148905105888843,0.0093237161636352,0.0094261122867465
probe,en,single_submetric,avg_links_len,mean_control,mse,0.013927192116777067,0.014023721528549934,0.014021161012351466,0.0132763196403781,0.012725601904094165,0.011664751296242032,0.011921494267880833,0.012299789736668199,0.011871474795043434,0.011545071067909333,0.011443406033019167,0.009513400495052301
probe,en,single_submetric,avg_max_depth,,mse,0.0179835446178913,0.0195110216736793,0.0218313056975603,0.0185831170529127,0.0174609031528234,0.0160829704254865,0.0161819625645875,0.0159392971545457,0.0187497548758983,0.0203050933778285,0.0219697598367929,0.0288212206214666
probe,en,single_submetric,avg_max_depth,mean_control,mse,0.03020358706514037,0.030841458588838536,0.030492749065160668,0.030117724711696266,0.028994476422667434,0.028156225879987035,0.028427660465240433,0.02940174937248227,0.029277842491865103,0.029299147427082003,0.030664880449573134,0.0305920497824748
probe,en,single_submetric,avg_subordinate_chain_len,,mse,0.0242650881409645,0.0285305231809616,0.0309578478336334,0.025706049054861,0.0243964325636625,0.0220587160438299,0.0248691011220216,0.0256860200315713,0.0253114886581897,0.0270320810377597,0.0262540336698293,0.0252005383372306
probe,en,single_submetric,avg_subordinate_chain_len,mean_control,mse,0.0309018939733505,0.031103883559505097,0.032970933864514,0.0311886686831712,0.0308466590940952,0.029247810443242334,0.029223289961616133,0.029194541896382934,0.0290720853954553,0.0364585469166437,0.03286375912527237,0.027164068693915966
probe,en,single_submetric,avg_verb_edges,,mse,0.0428463444113731,0.0511403903365135,0.0567182786762714,0.0519615486264228,0.0521913915872573,0.0470500476658344,0.0516116544604301,0.0763679668307304,0.0748731791973114,0.0472076795995235,0.0645526647567749,0.0581833682954311
probe,en,single_submetric,avg_verb_edges,mean_control,mse,0.06601920227209719,0.06933029989401497,0.07795295615990953,0.0649422605832417,0.0774445111552874,0.07321122288703913,0.0753954425454139,0.07921475917100902,0.076745793223381,0.064480019112428,0.06894725809494649,0.05894227574268973
probe,en,single_submetric,lexical_density,,mse,0.0301937237381935,0.0304294601082801,0.0298007111996412,0.028314022347331,0.0266717672348022,0.0252532437443733,0.0254293698817491,0.0254500322043895,0.0264412406831979,0.0282316040247678,0.0273850709199905,0.0304568447172641
probe,en,single_submetric,lexical_density,mean_control,mse,0.0308075205733378,0.031192780782779036,0.03183996615310507,0.029479014997680936,0.029453979184230133,0.028473939746618233,0.027034189552068665,0.027879985670248603,0.029398394748568497,0.029839864000677997,0.028928590317567168,0.031009076163172666
probe,en,single_submetric,n_tokens,,mse,0.0137197514995932,0.0108181154355406,0.0100658629089593,0.0115987816825509,0.0127096995711326,0.0161459203809499,0.0157023519277572,0.0146414590999484,0.0144678596407175,0.0163394622504711,0.0177905615419149,0.0234976876527071
probe,en,single_submetric,n_tokens,mean_control,mse,0.027257898201545033,0.025722153484821302,0.027174985657135598,0.026755137989918337,0.024896730979283566,0.023936389635006532,0.023159148171544033,0.02296314078072703,0.024590399737159364,0.027499119440714436,0.0292160995304584,0.028290816272298434
probe,fi,complexity,,,mse,0.0253547076135873,0.0340434163808822,0.034000888466835,0.030467664822936,0.0301165468990802,0.0269736628979444,0.0302963349968194,0.0288613606244325,0.0314278416335582,0.0403951443731784,0.0319448187947273,0.041654672473669
probe,fi,question_type,,,accuracy,0.8909090909090909,0.9181818181818182,0.8363636363636363,0.8818181818181818,0.9454545454545454,0.8909090909090909,0.9363636363636364,0.9,0.9090909090909092,0.9,0.8727272727272727,0.8636363636363636
probe,fi,single_submetric,avg_links_len,,mse,0.0286651849746704,0.0375956594944,0.0352431163191795,0.0316027961671352,0.0318855866789817,0.027282427996397,0.0285395197570323,0.0254168659448623,0.026114135980606,0.0287736691534519,0.0307278279215097,0.0204539541155099
probe,fi,single_submetric,avg_links_len,mean_control,mse,0.035432265450557034,0.04039176801840457,0.04008165126045537,0.038695968687534305,0.038875070710976865,0.03482620914777113,0.03437820946176843,0.030979995926221134,0.03142357431352134,0.03520092989007626,0.0366411159435908,0.021523193145791635
